navrhujícístrana,politickápříslušnost,pořadízvolení/náhradníka,mandát,číslo,název,poř.číslo,"příjmení, jméno, tituly",věk,abs.,v %
5,TOP 09 a nezávislí,21,Vysoudil Martin Mgr.,36,TOP 09,TOP 09,1 210,"2,13",-,-
12,PIRÁTI A STAROSTOVÉ,21,Wagnerová Zdenka,66,Piráti,BEZPP,3 424,"2,21",15,-
16,Česká str.sociálně demokrat.,4,Weiermüllerová Jitka Bc. MBA,47,ČSSD,ČSSD,1 693,"2,61",2,-
14,Občanská demokratická strana,12,Záhora Benedikt,43,ODS,ODS,3 156,"2,23",7,-
14,Občanská demokratická strana,2,Záleská Markéta Mgr.,51,ODS,ODS,3 472,"2,46",4,*
14,Občanská demokratická strana,20,Záleský David Mgr.,50,ODS,ODS,3 151,"2,23",15,-
2,Strana zelených,34,Zámcová Jarmila,30,Zelení,BEZPP,480,"1,93",-,-
2,Strana zelených,2,Zámec Radim Mgr. Ph.D.,38,Zelení,Zelení,820,"3,30",-,-
5,TOP 09 a nezávislí,30,Zapletal Ladislav MUDr.,64,TOP 09,TOP 09,1 213,"2,14",-,-
11,ProOlomouc,14,Zapletalová Věra,49,ProOl,BEZPP,3 502,"2,23",8,-
16,Česká str.sociálně demokrat.,6,Zatloukal Pavel,54,ČSSD,ČSSD,1 523,"2,35",6,-
6,NAŠE KRÁSNÁ OLOMOUC,29,Zbořilová Veronika,22,NK,BEZPP,360,"2,06",-,-
9,JAUNER Československo 2018,29,Zdařil Pavel,52,JAUNER,JAUNER,39,"1,98",-,-
12,PIRÁTI A STAROSTOVÉ,4,Zelenka Marek Mgr. LL.M.,30,STAN,BEZPP,4 108,"2,66",2,*
9,JAUNER Československo 2018,15,Zelinka Zdeněk,68,JAUNER,BEZPP,59,"3,01",-,-
12,PIRÁTI A STAROSTOVÉ,37,Zendulka Karel Bc.,27,Piráti,Piráti,3 250,"2,10",31,-
4,Komunistická str.Čech a Moravy,1,Zima Jiří PhDr.,58,KSČM,KSČM,1 739,"2,54",1,*
4,Komunistická str.Čech a Moravy,45,Zimová Blanka MUDr.,55,KSČM,BEZPP,1 351,"1,97",43,-
