navrhujícístrana,politickápříslušnost,pořadízvolení/náhradníka,mandát,číslo,název,poř.číslo,"příjmení, jméno, tituly",věk,abs.,v %
3,SPD T.OKAMURA a SPO ZEMANOVCI,19,Machus Jan Bc.,31,SPD,SPD,1 614,"2,24",16,-
14,Občanská demokratická strana,31,Majer Jan,40,ODS,ODS,3 068,"2,17",26,-
14,Občanská demokratická strana,1,Major Martin JUDr. MBA,39,ODS,ODS,3 820,"2,71",1,*
14,Občanská demokratická strana,17,Majorová Eliška Mgr.,30,ODS,ODS,3 150,"2,23",12,-
7,"Svobodní, Soukr. a Volba OK",13,Malík David,43,Soukromníci,Soukromníci,282,"2,13",-,-
6,NAŠE KRÁSNÁ OLOMOUC,28,Malík Radomír,57,NK,BEZPP,347,"1,99",-,-
7,"Svobodní, Soukr. a Volba OK",5,Malíková Erika,39,VOLK,BEZPP,309,"2,33",-,-
13,spOLečně,31,Malota Jakub Bc. MBA,34,spOL,spOL,1 613,"2,10",28,-
4,Komunistická str.Čech a Moravy,24,Marčan Vladimír,62,KSČM,BEZPP,1 496,"2,18",22,-
4,Komunistická str.Čech a Moravy,5,Marek Miroslav Ing.,65,KSČM,KSČM,1 666,"2,43",4,-
14,Občanská demokratická strana,4,Mareš Ivo MUDr. MBA,54,ODS,ODS,3 611,"2,56",2,*
11,ProOlomouc,42,Mareš Michal,42,ProOl,BEZPP,2 986,"1,90",36,-
7,"Svobodní, Soukr. a Volba OK",14,Mareš Milan Ing.,62,VOLK,BEZPP,290,"2,19",-,-
8,ANO 2011,26,Maršálová Doležalová Lenka,59,ANO,ANO,7 665,"2,22",12,-
16,Česká str.sociálně demokrat.,30,Martinková Ivana,62,ČSSD,ČSSD,1 362,"2,10",28,-
4,Komunistická str.Čech a Moravy,36,Martinů Ludmila,68,KSČM,KSČM,1 453,"2,12",34,-
3,SPD T.OKAMURA a SPO ZEMANOVCI,34,Matoušková Eva Mgr.,34,SPOZ,BEZPP,1 578,"2,19",31,-
4,Komunistická str.Čech a Moravy,13,Matýsová Helena,60,KSČM,BEZPP,1 531,"2,23",11,-
1,Křesť.demokr.unie-Čs.str.lid.,34,Mazoch Michael MVDr. LL.M.,62,KDU-ČSL,BEZPP,2 106,"2,20",30,-
9,JAUNER Československo 2018,6,Meizner Jaroslav,43,JAUNER,JAUNER,46,"2,34",-,-
9,JAUNER Československo 2018,3,Meizner Marian,24,JAUNER,JAUNER,50,"2,55",-,-
12,PIRÁTI A STAROSTOVÉ,1,Melichar Hynek Mgr. Ph.D.,36,Piráti,Piráti,4 307,"2,79",1,*
16,Česká str.sociálně demokrat.,18,Mencl Michael Mgr.,35,ČSSD,ČSSD,1 416,"2,18",16,-
12,PIRÁTI A STAROSTOVÉ,28,Menclová Kateřina,44,STAN,BEZPP,3 330,"2,15",22,-
13,spOLečně,36,Mendroková Ilona Mgr.,49,spOL,spOL,1 554,"2,02",33,-
11,ProOlomouc,44,Mertová Martina Mgr.,40,ProOl,BEZPP,2 838,"1,81",38,-
5,TOP 09 a nezávislí,7,Mičola Radovan,22,TOP 09,TOP 09,1 276,"2,25",-,-
5,TOP 09 a nezávislí,23,Mihal Jaroslav Ing.,41,TOP 09,TOP 09,1 212,"2,13",-,-
4,Komunistická str.Čech a Moravy,11,Michálek Petr Mgr.,76,KSČM,KSČM,1 560,"2,28",9,-
8,ANO 2011,25,Michalík Pavel Mgr.,57,ANO,BEZPP,7 705,"2,23",11,-
11,ProOlomouc,10,Michlová Jana,50,ProOl,BEZPP,3 548,"2,26",4,-
8,ANO 2011,19,Mikeš František Ing.,71,ANO,ANO,7 714,"2,23",5,-
9,JAUNER Československo 2018,26,Mikeš Michal,36,JAUNER,JAUNER,40,"2,04",-,-
10,"SPR-REP.STR.ČECH,MORAVY,SLEZ.",27,Mikloš Jaroslav,76,SPR-RSČMS,BEZPP,54,"2,35",-,-
9,JAUNER Československo 2018,34,Mikulka Pavel,41,JAUNER,BEZPP,40,"2,04",-,-
16,Česká str.sociálně demokrat.,14,Minařík František Ing.,72,ČSSD,ČSSD,1 396,"2,15",14,-
14,Občanská demokratická strana,28,Mišáková Jarmila,61,ODS,ODS,3 068,"2,17",23,-
7,"Svobodní, Soukr. a Volba OK",37,Mohapl Karel,70,Soukromníci,BEZPP,255,"1,92",-,-
12,PIRÁTI A STAROSTOVÉ,36,Moravová Jitka MUDr.,64,STAN,BEZPP,3 243,"2,10",30,-
12,PIRÁTI A STAROSTOVÉ,23,Morong Martin,26,Piráti,BEZPP,3 391,"2,19",17,-
2,Strana zelených,32,Motal Tomáš MgA.,31,Zelení,BEZPP,501,"2,02",-,-
11,ProOlomouc,33,Motáň Josef,46,ProOl,BEZPP,3 340,"2,13",27,-
3,SPD T.OKAMURA a SPO ZEMANOVCI,6,Motyka Jeroným,66,SPOZ,SPOZ,1 647,"2,28",3,-
3,SPD T.OKAMURA a SPO ZEMANOVCI,28,Motyková Naděžda,65,SPOZ,SPOZ,1 564,"2,17",25,-
10,"SPR-REP.STR.ČECH,MORAVY,SLEZ.",33,Mráček Roman,49,SPR-RSČMS,BEZPP,61,"2,65",-,-
16,Česká str.sociálně demokrat.,37,Mrajca Jan,63,ČSSD,ČSSD,1 313,"2,03",35,-
7,"Svobodní, Soukr. a Volba OK",41,Mráka Petr,55,Soukromníci,BEZPP,253,"1,91",-,-
6,NAŠE KRÁSNÁ OLOMOUC,41,Murla Matěj,20,NK,BEZPP,357,"2,04",-,-
7,"Svobodní, Soukr. a Volba OK",15,Musil Tomáš,40,Svobodní,BEZPP,298,"2,25",-,-
11,ProOlomouc,27,Mutňanský Jan MDDr.,33,ProOl,BEZPP,3 434,"2,19",21,-
10,"SPR-REP.STR.ČECH,MORAVY,SLEZ.",1,Mužný Pavel Ing.,66,SPR-RSČMS,SPR-RSČMS,96,"4,18",-,-
13,spOLečně,38,Nastoupil Adam,33,spOL,spOL,1 549,"2,02",35,-
11,ProOlomouc,29,Nátěstová Taťána Mgr.,58,ProOl,BEZPP,3 391,"2,16",23,-
5,TOP 09 a nezávislí,17,Navrátil Petr Ing. Ph.D.,57,TOP 09,TOP 09,1 233,"2,17",-,-
12,PIRÁTI A STAROSTOVÉ,7,Nepejchal Jakub,31,Piráti,Piráti,3 676,"2,38",2,-
7,"Svobodní, Soukr. a Volba OK",6,Nepšinský Roman Mgr.,39,Svobodní,Svobodní,359,"2,71",-,-
11,ProOlomouc,38,Nosál Petr Ing. arch.,48,ProOl,BEZPP,3 224,"2,06",32,-
14,Občanská demokratická strana,32,Novák Antonín Mgr.,40,ODS,ODS,3 050,"2,16",27,-
10,"SPR-REP.STR.ČECH,MORAVY,SLEZ.",12,Novák David,36,SPR-RSČMS,BEZPP,57,"2,48",-,-
5,TOP 09 a nezávislí,24,Novák Jiří MUDr.,52,NK,BEZPP,1 217,"2,14",-,-
16,Česká str.sociálně demokrat.,27,Nováková Jana Mgr.,51,ČSSD,ČSSD,1 399,"2,16",25,-
10,"SPR-REP.STR.ČECH,MORAVY,SLEZ.",9,Nováková Lena,53,SPR-RSČMS,BEZPP,60,"2,61",-,-
6,NAŠE KRÁSNÁ OLOMOUC,22,Nováková Marie,64,NK,BEZPP,360,"2,06",-,-
14,Občanská demokratická strana,13,Nováková Marie,79,ODS,ODS,3 137,"2,22",8,-
15,Moravské zemské hnutí,5,Novotná Eva Mgr.,51,MZH,BEZPP,86,"4,58",-,-
10,"SPR-REP.STR.ČECH,MORAVY,SLEZ.",23,Novotná Zdeňka,60,SPR-RSČMS,BEZPP,55,"2,39",-,-
10,"SPR-REP.STR.ČECH,MORAVY,SLEZ.",3,Novotný Viktor,60,SPR-RSČMS,SPR-RSČMS,80,"3,48",-,-
6,NAŠE KRÁSNÁ OLOMOUC,1,Nykl Jan Mgr. LL.M.,54,ODA,ODA,528,"3,02",-,-
6,NAŠE KRÁSNÁ OLOMOUC,13,Nyklová Skřivánková Romana MUDr.,53,NK,BEZPP,626,"3,59",-,-
1,Křesť.demokr.unie-Čs.str.lid.,10,Omelková Barbara Bc.,44,KDU-ČSL,BEZPP,2 137,"2,23",7,-
3,SPD T.OKAMURA a SPO ZEMANOVCI,35,Opálka Jan,68,SPD,BEZPP,1 561,"2,16",32,-
3,SPD T.OKAMURA a SPO ZEMANOVCI,41,Opletal Jaroslav,72,SPD,SPD,1 502,"2,08",38,-
14,Občanská demokratická strana,37,Opletalová Jitka,39,ODS,ODS,2 980,"2,11",32,-
6,NAŠE KRÁSNÁ OLOMOUC,8,Otáhalová Zdeňka Ing.,48,NK,BEZPP,419,"2,40",-,-
1,Křesť.demokr.unie-Čs.str.lid.,8,Otavová Karla,42,KDU-ČSL,BEZPP,2 125,"2,22",6,-
10,"SPR-REP.STR.ČECH,MORAVY,SLEZ.",18,Otisk Petr,70,SPR-RSČMS,BEZPP,59,"2,57",-,-
10,"SPR-REP.STR.ČECH,MORAVY,SLEZ.",15,Otisková Marcela,68,SPR-RSČMS,BEZPP,57,"2,48",-,-
7,"Svobodní, Soukr. a Volba OK",27,Ott Michal Mgr.,26,Svobodní,BEZPP,278,"2,10",-,-
13,spOLečně,20,Otyepka Michal prof. RNDr. Ph.D.,43,spOL,BEZPP,1 763,"2,30",17,-
1,Křesť.demokr.unie-Čs.str.lid.,32,Pachta Petr Mgr.,34,KDU-ČSL,KDU-ČSL,2 023,"2,11",28,-
15,Moravské zemské hnutí,11,Palatý Marta,77,MZH,Monarchiste.cz,60,"3,19",-,-
2,Strana zelených,14,Pánek Jiří Mgr. Ph.D.,33,Zelení,Zelení,642,"2,58",-,-
2,Strana zelených,21,Pařenica Jan Bc.,31,Zelení,BEZPP,491,"1,98",-,-
9,JAUNER Československo 2018,45,Patócs Zdeněk,54,JAUNER,BEZPP,44,"2,24",-,-
14,Občanská demokratická strana,23,Pavlůsek Tomáš,45,ODS,ODS,3 131,"2,22",18,-
12,PIRÁTI A STAROSTOVÉ,30,Pečinka Libor Ing.,31,STAN,BEZPP,3 379,"2,19",24,-
6,NAŠE KRÁSNÁ OLOMOUC,42,Pecher Jiří,40,NK,BEZPP,338,"1,93",-,-
11,ProOlomouc,1,Pejpek Tomáš Ing. arch.,51,ProOl,ProOl,4 652,"2,97",1,*
1,Křesť.demokr.unie-Čs.str.lid.,2,Pelikán Matouš Mgr.,36,KDU-ČSL,KDU-ČSL,2 753,"2,87",2,*
4,Komunistická str.Čech a Moravy,35,Peňáz Ivo,70,KSČM,KSČM,1 460,"2,13",33,-
2,Strana zelených,44,Petráková Magdaléna Mgr.,27,Zelení,BEZPP,424,"1,71",-,-
5,TOP 09 a nezávislí,32,Píchová Lenka,41,TOP 09,TOP 09,1 141,"2,01",-,-
5,TOP 09 a nezávislí,19,Pilarová Terezie Mgr. et Mgr.,31,TOP 09,TOP 09,1 223,"2,15",-,-
8,ANO 2011,23,Pilát Miroslav PaedDr. Ph.D.,59,ANO,ANO,7 744,"2,24",9,-
6,NAŠE KRÁSNÁ OLOMOUC,15,Pisaříková Monika Bc.,38,NK,BEZPP,376,"2,15",-,-
2,Strana zelených,4,Plachý Ondřej Mgr.,32,Zelení,Zelení,716,"2,88",-,-
13,spOLečně,3,Plíhalová Ivana,56,spOL,spOL,2 495,"3,25",1,*
4,Komunistická str.Čech a Moravy,20,Pliska Pavel,45,KSČM,KSČM,1 562,"2,28",18,-
7,"Svobodní, Soukr. a Volba OK",24,Pochopová Jana,45,Svobodní,BEZPP,290,"2,19",-,-
14,Občanská demokratická strana,26,Pokorný Vladimír Ing.,72,ODS,ODS,3 106,"2,20",21,-
9,JAUNER Československo 2018,12,Polách Jaromír,59,JAUNER,BEZPP,44,"2,24",-,-
13,spOLečně,9,"Polách Vladimír Mgr. M.Phil., Ph.D.",41,spOL,spOL,1 927,"2,51",3,-
8,ANO 2011,18,Popelák Lukáš,31,ANO,ANO,7 749,"2,25",4,-
8,ANO 2011,36,Popeláková Jitka,28,ANO,BEZPP,7 491,"2,17",22,-
14,Občanská demokratická strana,39,Pospiechová Renata Mgr.,38,ODS,ODS,2 956,"2,09",34,-
14,Občanská demokratická strana,36,Pospíšil Martin Ing.,41,ODS,ODS,3 037,"2,15",31,-
15,Moravské zemské hnutí,14,Pospíšil Mojmír,43,MZH,BEZPP,63,"3,35",-,-
7,"Svobodní, Soukr. a Volba OK",44,Pospíšil Petr,45,Soukromníci,BEZPP,271,"2,04",-,-
5,TOP 09 a nezávislí,37,Pospíšil Radim,44,NK,BEZPP,1 075,"1,89",-,-
10,"SPR-REP.STR.ČECH,MORAVY,SLEZ.",31,Pospíšil René,47,SPR-RSČMS,SPR-RSČMS,58,"2,52",-,-
11,ProOlomouc,4,Pospíšil Vojtěch MgA. DiS.,34,ProOl,ProOl,3 751,"2,39",2,-
4,Komunistická str.Čech a Moravy,28,Pospíšilová Eva,68,KSČM,KSČM,1 487,"2,17",26,-
5,TOP 09 a nezávislí,5,Pospíšilová Isabela Mgr.,44,TOP 09,TOP 09,1 386,"2,44",-,-
5,TOP 09 a nezávislí,39,Potůčková Martina Mgr.,42,NK,BEZPP,1 103,"1,94",-,-
8,ANO 2011,22,Pour Lukáš  DiS.,37,ANO,ANO,7 704,"2,23",8,-
8,ANO 2011,7,Prášil Vladimír,60,ANO,ANO,7 863,"2,28",7,*
1,Křesť.demokr.unie-Čs.str.lid.,21,Preč Jan Ing.,72,KDU-ČSL,BEZPP,2 108,"2,20",17,-
7,"Svobodní, Soukr. a Volba OK",4,Preiss Michal Mgr.,42,Soukromníci,Soukromníci,347,"2,62",-,-
11,ProOlomouc,24,Prekop Dvorská Hana Mgr.,38,ProOl,BEZPP,3 452,"2,20",18,-
12,PIRÁTI A STAROSTOVÉ,38,Prchal Vítězslav PhDr. Ph.D.,39,STAN,BEZPP,3 214,"2,08",32,-
12,PIRÁTI A STAROSTOVÉ,8,Prchal Pavlíčková Radmila doc. Mgr. Ph.D.,44,STAN,STAN,3 749,"2,43",3,-
8,ANO 2011,17,Prchalová Petra Mgr. Bc.,32,ANO,ANO,7 751,"2,25",3,-
14,Občanská demokratická strana,21,Procházka Daniel Mgr.,56,ODS,ODS,3 107,"2,20",16,-
9,JAUNER Československo 2018,5,Procházka Jiří,30,JAUNER,JAUNER,41,"2,09",-,-
1,Křesť.demokr.unie-Čs.str.lid.,9,Procházka Petr MVDr.,54,KDU-ČSL,KDU-ČSL,2 406,"2,51",2,-
5,TOP 09 a nezávislí,15,Procházková Libíčková Jana PhDr.,69,TOP 09,TOP 09,1 238,"2,18",-,-
14,Občanská demokratická strana,45,Prokeš Adam,34,ODS,ODS,2 478,"1,75",40,-
2,Strana zelených,33,Prosecká Irena,35,Zelení,BEZPP,476,"1,92",-,-
14,Občanská demokratická strana,35,Prošvic David,40,ODS,ODS,3 061,"2,17",30,-
9,JAUNER Československo 2018,33,Prudil Lukáš,18,JAUNER,JAUNER,39,"1,98",-,-
8,ANO 2011,13,Přerovský Martin Mgr.,39,ANO,ANO,7 841,"2,27",13,*
3,SPD T.OKAMURA a SPO ZEMANOVCI,18,Přibylová Miluše Bc.,54,SPOZ,BEZPP,1 587,"2,20",15,-
1,Křesť.demokr.unie-Čs.str.lid.,27,Přikrylová Ivana,38,KDU-ČSL,KDU-ČSL,2 014,"2,10",23,-
6,NAŠE KRÁSNÁ OLOMOUC,27,Přikrylová Kristína Bc.,26,NK,BEZPP,363,"2,08",-,-
11,ProOlomouc,34,Ptáček Bohumil Mgr.,36,ProOl,BEZPP,3 358,"2,14",28,-
6,NAŠE KRÁSNÁ OLOMOUC,34,Purová Martina,44,NK,BEZPP,350,"2,00",-,-
9,JAUNER Československo 2018,21,Rádl Miloslav,63,JAUNER,JAUNER,37,"1,88",-,-
9,JAUNER Československo 2018,20,Rádlová Galina,58,JAUNER,JAUNER,37,"1,88",-,-
13,spOLečně,43,Rak Vladimír Ing. Ph.D.,40,spOL,BEZPP,1 465,"1,91",40,-
12,PIRÁTI A STAROSTOVÉ,25,Rakovský Jan Ing.,43,Piráti,Piráti,3 344,"2,16",19,-
3,SPD T.OKAMURA a SPO ZEMANOVCI,13,Rakušan Milan Ing.,51,SPD,SPD,1 636,"2,27",10,-
8,ANO 2011,39,Ralis Daniel,24,ANO,BEZPP,7 376,"2,14",25,-
4,Komunistická str.Čech a Moravy,10,Rašnerová Věra,55,KSČM,KSČM,1 556,"2,27",8,-
5,TOP 09 a nezávislí,22,Reichová Dagmar Ing.,48,NK,BEZPP,1 247,"2,20",-,-
5,TOP 09 a nezávislí,34,Reiter Miloš,37,TOP 09,TOP 09,1 116,"1,97",-,-
5,TOP 09 a nezávislí,16,Roháč Ivo,52,NK,BEZPP,1 233,"2,17",-,-
10,"SPR-REP.STR.ČECH,MORAVY,SLEZ.",29,Rohrer Jiří,54,SPR-RSČMS,SPR-RSČMS,58,"2,52",-,-
1,Křesť.demokr.unie-Čs.str.lid.,16,Roubínek Pavel Mgr. Ph.D.,33,KDU-ČSL,KDU-ČSL,2 089,"2,18",12,-
6,NAŠE KRÁSNÁ OLOMOUC,6,Rovenský Milan Mgr.,60,NK,BEZPP,462,"2,65",-,-
12,PIRÁTI A STAROSTOVÉ,40,Rubek Pavel,37,STAN,STAN,3 098,"2,00",34,-
6,NAŠE KRÁSNÁ OLOMOUC,35,Rückschloss Richard,45,NK,BEZPP,356,"2,04",-,-
11,ProOlomouc,40,Rulcová Vendula Mgr.,37,ProOl,BEZPP,3 133,"2,00",34,-
13,spOLečně,6,Runták Robert JUDr. MBA,42,spOL,spOL,1 873,"2,44",6,-
7,"Svobodní, Soukr. a Volba OK",16,Růžičková Dora Ing. Ph.D.,48,Soukromníci,BEZPP,296,"2,23",-,-
6,NAŠE KRÁSNÁ OLOMOUC,40,Růžičková Jana,57,NK,BEZPP,334,"1,91",-,-
2,Strana zelených,29,Rygel David,47,Zelení,BEZPP,501,"2,02",-,-
8,ANO 2011,27,Ryšánek František,54,ANO,BEZPP,7 691,"2,23",13,-
7,"Svobodní, Soukr. a Volba OK",12,Ryšlinková Lenka,50,Svobodní,BEZPP,313,"2,36",-,-
12,PIRÁTI A STAROSTOVÉ,27,Řehová Marika,30,Piráti,Piráti,3 379,"2,19",21,-
12,PIRÁTI A STAROSTOVÉ,15,Řepka Vítězslav Mgr.,28,Piráti,Piráti,3 528,"2,28",9,-
4,Komunistická str.Čech a Moravy,19,Řezníček Milan,59,KSČM,BEZPP,1 508,"2,20",17,-
5,TOP 09 a nezávislí,8,Řihošek Jan Ing.,66,NK,BEZPP,1 428,"2,52",-,-
2,Strana zelených,10,Říhová Dagmar Mgr.,35,Zelení,Zelení,663,"2,67",-,-
6,NAŠE KRÁSNÁ OLOMOUC,12,Římská Alena,50,NK,BEZPP,396,"2,27",-,-
4,Komunistická str.Čech a Moravy,39,Sedláček Ladislav,68,KSČM,BEZPP,1 440,"2,10",37,-
10,"SPR-REP.STR.ČECH,MORAVY,SLEZ.",30,Sedláčková Libuše,55,SPR-RSČMS,BEZPP,57,"2,48",-,-
6,NAŠE KRÁSNÁ OLOMOUC,14,Sedlák Jiří Ing.,60,NK,BEZPP,404,"2,31",-,-
9,JAUNER Československo 2018,42,Sedlák Milan,58,JAUNER,JAUNER,38,"1,93",-,-
13,spOLečně,40,Seidlová Martina Ing.,46,spOL,spOL,1 521,"1,98",37,-
6,NAŠE KRÁSNÁ OLOMOUC,5,Sekaninová Hana PaedDr.,55,NK,BEZPP,469,"2,69",-,-
11,ProOlomouc,32,Schneider Otto Ing. arch.,66,ProOl,BEZPP,3 429,"2,19",26,-
2,Strana zelených,42,Scholaster Radim,30,Zelení,BEZPP,448,"1,80",-,-
1,Křesť.demokr.unie-Čs.str.lid.,33,Schreier Martin Mgr.,27,KDU-ČSL,BEZPP,1 992,"2,08",29,-
13,spOLečně,28,Schubert Miroslav,57,spOL,BEZPP,1 634,"2,13",25,-
14,Občanská demokratická strana,6,Schubert Radim,38,ODS,ODS,3 399,"2,41",1,-
16,Česká str.sociálně demokrat.,9,Schwarz Richard Bc.,27,ČSSD,ČSSD,1 490,"2,30",9,-
7,"Svobodní, Soukr. a Volba OK",33,Sikora Martin,47,Soukromníci,BEZPP,265,"2,00",-,-
2,Strana zelených,37,Simon Richard,41,Zelení,BEZPP,467,"1,88",-,-
1,Křesť.demokr.unie-Čs.str.lid.,19,Sís Jakub Mgr. Bc.,36,KDU-ČSL,BEZPP,2 143,"2,23",15,-
12,PIRÁTI A STAROSTOVÉ,29,Sís Radek,32,Piráti,Piráti,3 358,"2,17",23,-
1,Křesť.demokr.unie-Čs.str.lid.,36,Sítař Tomáš Mgr.,28,KDU-ČSL,BEZPP,1 968,"2,05",32,-
4,Komunistická str.Čech a Moravy,6,Skácel Miroslav PaedDr.,70,KSČM,KSČM,1 704,"2,49",2,*
10,"SPR-REP.STR.ČECH,MORAVY,SLEZ.",21,Skácelová Renáta,49,SPR-RSČMS,BEZPP,62,"2,70",-,-
4,Komunistická str.Čech a Moravy,29,Skalka Přemysl MVDr.,65,KSČM,KSČM,1 497,"2,19",27,-
3,SPD T.OKAMURA a SPO ZEMANOVCI,38,Sklenák Jiří,77,SPD,BEZPP,1 528,"2,12",35,-
2,Strana zelených,31,Skopal Ondřej PhDr. Ph.D.,31,Zelení,BEZPP,532,"2,14",-,-
6,NAŠE KRÁSNÁ OLOMOUC,11,Skoumal Pavel MUDr.,65,NK,BEZPP,443,"2,54",-,-
6,NAŠE KRÁSNÁ OLOMOUC,10,Skoupilová Jana Mgr.,57,NK,BEZPP,413,"2,36",-,-
10,"SPR-REP.STR.ČECH,MORAVY,SLEZ.",10,Skovajsová Hana,64,SPR-RSČMS,BEZPP,61,"2,65",-,-
11,ProOlomouc,12,Skyba Vilém Mgr.,38,ProOl,BEZPP,3 552,"2,27",6,-
12,PIRÁTI A STAROSTOVÉ,34,Skyva Petr Mgr.,44,STAN,BEZPP,3 282,"2,12",28,-
8,ANO 2011,45,Smejkal Jan Ing.,25,ANO,BEZPP,6 570,"1,90",31,-
10,"SPR-REP.STR.ČECH,MORAVY,SLEZ.",28,Smítal Petr,56,SPR-RSČMS,BEZPP,59,"2,57",-,-
7,"Svobodní, Soukr. a Volba OK",2,Sofková Silvie Mgr.,40,VOLK,VOLK,435,"3,28",-,-
7,"Svobodní, Soukr. a Volba OK",20,Sochor Stanislav Mgr.,42,VOLK,BEZPP,317,"2,39",-,-
2,Strana zelených,35,Somer Tomáš Mgr. Ph.D.,34,Zelení,BEZPP,494,"1,99",-,-
15,Moravské zemské hnutí,2,Sommerová Eva RNDr.,70,MZH,BEZPP,136,"7,24",-,-
1,Křesť.demokr.unie-Čs.str.lid.,22,Soubustová Jitka Mgr. Ph.D.,44,KDU-ČSL,BEZPP,2 092,"2,18",18,-
6,NAŠE KRÁSNÁ OLOMOUC,30,Soušková Ivana,42,NK,BEZPP,352,"2,01",-,-
3,SPD T.OKAMURA a SPO ZEMANOVCI,12,Sova Petr,52,SPOZ,SPOZ,1 594,"2,21",9,-
12,PIRÁTI A STAROSTOVÉ,31,Spáčilová Lucie,37,Piráti,Piráti,3 356,"2,17",25,-
16,Česká str.sociálně demokrat.,36,Spurná Svobodová Anna,35,ČSSD,ČSSD,1 329,"2,05",34,-
16,Česká str.sociálně demokrat.,15,Staněk Antonín doc. Mgr. Ph.D.,52,ČSSD,ČSSD,1 649,"2,55",3,-
16,Česká str.sociálně demokrat.,44,Staňková Miloslava,75,ČSSD,ČSSD,1 189,"1,83",42,-
5,TOP 09 a nezávislí,27,Steiger Jiří Mgr.,49,TOP 09,TOP 09,1 223,"2,15",-,-
1,Křesť.demokr.unie-Čs.str.lid.,23,Stejskal Ladislav,47,KDU-ČSL,KDU-ČSL,2 053,"2,14",19,-
7,"Svobodní, Soukr. a Volba OK",25,Stejskal Miroslav,27,Soukromníci,BEZPP,284,"2,14",-,-
7,"Svobodní, Soukr. a Volba OK",22,Stojmenov Martin,22,Soukromníci,BEZPP,285,"2,15",-,-
7,"Svobodní, Soukr. a Volba OK",10,Stojmenov Vladimír,45,Soukromníci,BEZPP,304,"2,29",-,-
10,"SPR-REP.STR.ČECH,MORAVY,SLEZ.",36,Stošek Karel,71,SPR-RSČMS,BEZPP,58,"2,52",-,-
1,Křesť.demokr.unie-Čs.str.lid.,37,Stranyánek Jiří RNDr.,76,KDU-ČSL,KDU-ČSL,1 937,"2,02",33,-
13,spOLečně,42,Stratilová Karolína,30,spOL,BEZPP,1 502,"1,96",39,-
7,"Svobodní, Soukr. a Volba OK",17,Streit Martin,41,VOLK,BEZPP,281,"2,12",-,-
13,spOLečně,16,Strojil Jan MUDr. Ph.D.,40,spOL,BEZPP,1 835,"2,39",13,-
16,Česká str.sociálně demokrat.,33,Studený Lukáš Ing. Bc.,41,ČSSD,ČSSD,1 357,"2,09",31,-
12,PIRÁTI A STAROSTOVÉ,2,Suchánek Josef Ing.,55,STAN,STAN,3 989,"2,58",3,*
8,ANO 2011,37,Svačinková Helena,40,ANO,BEZPP,7 437,"2,15",23,-
