obvod,číslo,název,poř. číslo,"příjmení, jméno, tituly",věk,navrh. strana,polit. přísl.,abs.,v %,pořadí,mandát
3,1,Republikáni Miroslava Sládka,5,Šmíd Pavel,31,RMS,BEZPP,17,"14,04",-,-
3,7,SPOLEČNĚ PRO OLOMOUC,8,Šmídová Veronika,24,NK,BEZPP,203,"8,44",-,-
5,9,Křesť.demokr.unie-Čs.str.lid.,1,Šnevajs Ladislav RNDr.,44,KDU-ČSL,KDU-ČSL,488,"12,63",1,*
2,3,SPOLEČNĚ PRO OLOMOUC,4,Šperlínová Marcela,52,NK,BEZPP,281,"10,22",-,-
5,5,Občanská demokratická strana,4,Šputa Oldřich Ing.,52,ODS,ODS,2 083,"11,25",4,*
3,8,"Koalice SOS, SNK ED, Z",2,"Štainer Martin Mgr. Ph.D.,",38,SNK ED,BEZPP,296,"12,92",-,-
1,8,NEZ.DEMOKRATÉ(předs.V.Železný),2,Štěpánková Lucie,25,NEZ/DEM,NEZ/DEM,40,"7,38",-,-
5,4,NEZ.DEMOKRATÉ(předs.V.Železný),4,Štěpánová Ilona,41,NEZ/DEM,BEZPP,48,"12,73",-,-
4,10,Strana zelených,5,Švarcová Marie,40,SZ,BEZPP,335,"10,94",-,-
3,6,Komunistická str.Čech a Moravy,8,Švaříček Stanislav RSDr.,62,KSČM,KSČM,568,"10,46",7,-
1,9,Občanská demokratická strana,9,Švec Jiří,23,ODS,ODS,1 867,"9,99",4,-
3,9,Česká str.sociálně demokrat.,4,Švejda Josef Ing.,64,ČSSD,ČSSD,1 218,"11,31",1,-
1,1,Komunistická str.Čech a Moravy,8,Tahotná Eva,49,KSČM,KSČM,534,"10,62",7,-
5,4,NEZ.DEMOKRATÉ(předs.V.Železný),3,Talášek Petr,42,NEZ/DEM,NEZ/DEM,52,"13,79",-,-
2,1,Česká str.sociálně demokrat.,1,Tesařík Martin Ing.,52,ČSSD,ČSSD,2 246,"13,62",1,*
4,3,Česká str.sociálně demokrat.,1,Tesařová Hana,47,ČSSD,ČSSD,1 289,"11,80",2,*
3,5,Strana zelených,1,Tichý Martin RNDr.,43,SZ,SZ,456,"17,11",-,-
5,6,Komunistická str.Čech a Moravy,7,Tichý Petr,62,KSČM,KSČM,552,"10,34",6,-
4,3,Česká str.sociálně demokrat.,4,Titz Přemysl JUDr.,67,ČSSD,ČSSD,1 209,"11,06",1,-
4,7,Křesť.demokr.unie-Čs.str.lid.,2,Tomášek Silvestr,70,KDU-ČSL,BEZPP,586,"12,40",1,-
2,6,Občanská demokratická strana,2,Tozzi di Angelo Igor MUDr.,43,ODS,ODS,2 306,"11,65",2,*
4,9,Moravané,4,Trávníčková Iveta,35,M,BEZPP,31,"14,97",-,-
5,4,NEZ.DEMOKRATÉ(předs.V.Železný),8,Trčka Karel,46,NEZ/DEM,BEZPP,29,"7,69",-,-
5,8,Republikáni Miroslava Sládka,3,Trnečková Blanka,40,RMS,BEZPP,25,"17,00",-,-
5,3,"Koalice SOS, SNK ED, Z",6,Truksová Milada PaedDr.,51,SOS,BEZPP,286,"10,17",-,-
4,1,Občanská demokratická strana,7,Trunečka Tomáš,34,ODS,ODS,1 808,"10,92",3,-
1,1,Komunistická str.Čech a Moravy,9,Typnerová Jaroslava,59,KSČM,KSČM,514,"10,23",8,-
3,7,SPOLEČNĚ PRO OLOMOUC,9,Ullmann Jaromír,40,NK,BEZPP,167,"6,94",-,-
3,7,SPOLEČNĚ PRO OLOMOUC,5,Vacková Blanka Mgr.,36,NK,BEZPP,260,"10,81",-,-
4,5,Republikáni Miroslava Sládka,4,Vaculík Pavel,57,RMS,BEZPP,15,"15,46",-,-
1,5,Strana zelených,3,Vaculík Petr,32,SZ,BEZPP,394,"11,32",-,-
5,3,"Koalice SOS, SNK ED, Z",3,Vaida Tomáš Ing.,42,SNK ED,SNK ED,291,"10,35",-,-
3,6,Komunistická str.Čech a Moravy,9,Valenta Otakar,62,KSČM,KSČM,521,"9,59",8,-
2,3,SPOLEČNĚ PRO OLOMOUC,8,Valentová Hana,28,NK,BEZPP,223,"8,11",-,-
1,6,"Koalice SOS, SNK ED, Z",6,Valentová Kateřina Mgr.,54,SOS,BEZPP,300,"10,71",-,-
4,10,Strana zelených,4,Valouch Vladimír,20,SZ,BEZPP,341,"11,14",-,-
1,3,Česká str.sociálně demokrat.,6,Váňa Roman Ing.,39,ČSSD,ČSSD,1 187,"11,28",4,-
5,4,NEZ.DEMOKRATÉ(předs.V.Železný),5,Vaněk Karel,50,NEZ/DEM,BEZPP,44,"11,67",-,-
4,4,Komunistická str.Čech a Moravy,6,Večerka František,54,KSČM,KSČM,591,"11,36",5,-
4,4,Komunistická str.Čech a Moravy,2,Večeřa Alois,61,KSČM,KSČM,601,"11,55",1,-
3,9,Česká str.sociálně demokrat.,3,Vejbor Petr Mgr.,25,ČSSD,ČSSD,1 231,"11,43",3,*
2,9,NEZ.DEMOKRATÉ(předs.V.Železný),4,"Veličková Leona  Dis.,",26,NEZ/DEM,BEZPP,62,"10,29",-,-
3,9,Česká str.sociálně demokrat.,9,Vencl Květoslav,58,ČSSD,ČSSD,1 035,"9,61",6,-
1,2,Křesť.demokr.unie-Čs.str.lid.,9,Venkrbcová Drahomíra,44,KDU-ČSL,BEZPP,472,"10,33",8,-
5,7,Česká str.sociálně demokrat.,7,Veverka Radko,59,ČSSD,ČSSD,1 144,"10,41",5,-
4,1,Občanská demokratická strana,1,Vláčilová Marta Mgr.,60,ODS,ODS,1 928,"11,65",1,*
4,5,Republikáni Miroslava Sládka,5,Vlkošová Jana,69,RMS,BEZPP,13,"13,40",-,-
2,3,SPOLEČNĚ PRO OLOMOUC,5,Vočka Zbyněk,31,NK,BEZPP,256,"9,31",-,-
2,1,Česká str.sociálně demokrat.,8,Vodáková Soňa Mgr.,39,ČSSD,ČSSD,1 711,"10,37",4,-
4,10,Strana zelených,8,Vodička Martin,21,SZ,BEZPP,273,"8,91",-,-
1,4,SPOLEČNĚ PRO OLOMOUC,5,Vodičková Zdenka Ing.,60,NK,BEZPP,282,"11,05",-,-
2,5,Komunistická str.Čech a Moravy,8,Vojáčková Jitka,29,KSČM,BEZPP,666,"10,62",7,-
5,4,NEZ.DEMOKRATÉ(předs.V.Železný),2,Vojtěchovský Ladislav,36,NEZ/DEM,NEZ/DEM,33,"8,75",-,-
5,1,SPOLEČNĚ PRO OLOMOUC,2,Volfová Vendulka Mgr.,34,NK,BEZPP,409,"12,70",-,-
1,3,Česká str.sociálně demokrat.,1,Vomáčka Jaroslav MUDr. Doc.Ph.D.,50,ČSSD,ČSSD,1 280,"12,17",1,*
5,3,"Koalice SOS, SNK ED, Z",8,Vraj Lubomír Bc.,38,"""Z""",BEZPP,286,"10,17",-,-
1,8,NEZ.DEMOKRATÉ(předs.V.Železný),7,Vrba Jiří PhDr. CSc.,67,NEZ/DEM,BEZPP,53,"9,77",-,-
1,8,NEZ.DEMOKRATÉ(předs.V.Železný),1,Vrba Petr Mgr.,37,NEZ/DEM,NEZ/DEM,62,"11,43",-,-
2,10,Republikáni Miroslava Sládka,4,Výboch Miroslav,58,RMS,BEZPP,24,"15,48",-,-
5,1,SPOLEČNĚ PRO OLOMOUC,3,Vysloužilová Leona Mgr.,36,NK,BEZPP,436,"13,54",-,-
1,4,SPOLEČNĚ PRO OLOMOUC,3,Vysoudil Martin Bc.,24,NK,BEZPP,274,"10,74",-,-
2,4,Strana zelených,5,Wantulok Eugeniusz Ing.,41,SZ,BEZPP,329,"10,10",-,-
3,8,"Koalice SOS, SNK ED, Z",4,Weigl Evžen,27,SNK ED,SNK ED,225,"9,82",-,-
2,5,Komunistická str.Čech a Moravy,3,Weinertová Ivanka,65,KSČM,KSČM,690,"11,01",2,-
2,9,NEZ.DEMOKRATÉ(předs.V.Železný),5,Zahradníčková Ivana,40,NEZ/DEM,BEZPP,45,"7,47",-,-
3,5,Strana zelených,5,Zahradová Vladimíra,61,SZ,BEZPP,244,"9,15",-,-
1,6,"Koalice SOS, SNK ED, Z",8,Zaoralová Růžena Mgr.,48,SOS,BEZPP,269,"9,60",-,-
2,5,Komunistická str.Čech a Moravy,7,Zelníček Rudolf,63,KSČM,KSČM,677,"10,80",6,-
2,1,Česká str.sociálně demokrat.,9,Žáček Filip,19,ČSSD,ČSSD,1 626,"9,86",5,-
3,8,"Koalice SOS, SNK ED, Z",7,Žák Petr,48,SOS,SOS,180,"7,86",-,-
