obvod,číslo,název,poř. číslo,"příjmení, jméno",tituly,věk,navrh. strana,polit. přísl.,abs.,v %,pořadí,mandát
2,2,Křesť.demokr.unie-Čs.str.lid.,8,Navrátil Vladimír,RNDr. ,45,KDU-ČSL,BEZPP,359,10.97, , 
5,5,Unie svobody-Demokratická unie,7,Neubertová Marta,Ing. ,32,US-DEU,BEZPP,166,9.44, , 
2,10,Komunistická str.Čech a Moravy,7,Nevrlý Květoslav, ,61,KSČM,KSČM,775,10.76,5, 
5,1,OLOMOUC 21-SOS a nez.ob.inic.,5,Nováčková Helena,Mgr. ,36,SOS,BEZPP,325,10.84,4, 
2,8,"BLOK PRO OBČ.-koalice RMS,SŽJ",5,Novák Pavel, ,37,RMS,BEZPP,30,20.68, , 
1,10,Křesť.demokr.unie-Čs.str.lid.,3,Novotný Jaroslav,Mgr. ,44,KDU-ČSL,KDU-ČSL,550,11.83,2, 
1,2,Občanská demokratická strana,1,Novotný Martin, ,30,ODS,ODS,1 367,11.65,2,*
1,5,Strana zelených a Šance pro Ol,2,Obenaus Milan,Ing.arch. ,48,SZ,SZ,717,16.91,1,*
3,4,Křesť.demokr.unie-Čs.str.lid.,7,Obšel Alois, ,41,KDU-ČSL,KDU-ČSL,303,9.09,6, 
2,1,Strana zelených a Šance pro Ol,2,Opichal Karel,MUDr. ,35,NK,BEZPP,570,11.87,2, 
5,3,NEZÁVISLÍ,1,Opletal Petr,Ing. CSc.,62,NEZ,BEZPP,357,15.37, , 
2,8,"BLOK PRO OBČ.-koalice RMS,SŽJ",1,Ovčáčíková Alena,PhDr. ,46,SŽJ,SŽJ,37,25.51, , 
4,11,OLOMOUC 21-SOS a nez.ob.inic.,3,Panský Ota,Bc. ,48,NK,BEZPP,222,10.97, , 
5,8,Strana zelených a Šance pro Ol,2,Pátek Martin,Mgr. ,34,NK,BEZPP,324,11.03, , 
5,8,Strana zelených a Šance pro Ol,8,Pátek Martin,Mgr. ,30,NK,BEZPP,220,7.49, , 
5,11,Křesť.demokr.unie-Čs.str.lid.,9,Pavela Michal,Ing. ,37,KDU-ČSL,BEZPP,401,9.24,8, 
2,3,NEZÁVISLÍ,2,Pavlík František, ,55,NEZ,BEZPP,308,10.01, , 
5,11,Křesť.demokr.unie-Čs.str.lid.,7,Pavlík Gabriel, ,39,KDU-ČSL,BEZPP,423,9.75,6, 
1,6,NEZÁVISLÍ,4,Pavlík Jan,Mgr. ,54,NEZ,ČSNS,219,11.09, , 
4,8,Křesť.demokr.unie-Čs.str.lid.,9,Pazderka Stanislav, ,69,KDU-ČSL,KDU-ČSL,517,8.67,8, 
5,2,Naděje a Hnutí obč. sebeobr.,5,Pech Zdeněk,Mgr. ,68,NK,BEZPP,143,9.05, , 
4,2,Naděje a Hnutí obč. sebeobr.,7,Pechová Věra, ,68,NK,BEZPP,106,7.76, , 
1,10,Křesť.demokr.unie-Čs.str.lid.,7,Pelikán Matouš, ,20,KDU-ČSL,BEZPP,515,11.08,6, 
2,2,Křesť.demokr.unie-Čs.str.lid.,3,Pelikán Vít,Ing. ,49,KDU-ČSL,KDU-ČSL,451,13.78, , 
2,8,"BLOK PRO OBČ.-koalice RMS,SŽJ",3,Peniašková Mária, ,48,RMS,BEZPP,27,18.62, , 
