číslo,název,poř. číslo,"příjmení, jméno, tituly",věk,navrh. strana,polit. přísl.,abs.,v %,pořadí,mandát
13,ANO 2011,33,Ryšánek František,50,ANO,BEZPP,5 407,"2,16",21,-
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",1,Ryšlink Pavel,71,SPR-RSČMS,SPR-RSČMS,151,"3,89",-,-
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",20,Ryšlinková Hana,66,SPR-RSČMS,BEZPP,99,"2,55",-,-
4,Patrioti PRO Olomouc,1,Rytíř Jan JUDr. PhD.,46,NK,BEZPP,788,"5,89",-,-
12,Komunistická str.Čech a Moravy,16,Řezníček Milan,54,KSČM,KSČM,2 131,"2,25",12,-
2,Strana svobodných občanů,28,Řihák Jiří,59,Svobodní,BEZPP,484,"2,03",-,-
11,Občané pro Olomouc,8,Řihošek Jan Ing.,62,NK,BEZPP,2 054,"2,63",5,-
11,Občané pro Olomouc,20,Říhová Dagmar Mgr.,31,Zelení,BEZPP,1 727,"2,21",17,-
13,ANO 2011,39,Sadílek Rostislav Mgr.,52,ANO,BEZPP,5 186,"2,08",27,-
4,Patrioti PRO Olomouc,34,Sázel Zdeněk,46,NK,BEZPP,238,"1,78",-,-
12,Komunistická str.Čech a Moravy,34,Sedláček Ladislav,64,KSČM,BEZPP,2 024,"2,14",30,-
8,Občanská demokratická strana,33,Sehnal Milan,84,ODS,BEZPP,2 385,"2,02",28,-
8,Občanská demokratická strana,27,Sekanina Pavel Ing.,60,ODS,ODS,2 485,"2,11",22,-
12,Komunistická str.Čech a Moravy,32,Sekanina Zdeněk,60,KSČM,KSČM,2 057,"2,17",28,-
11,Občané pro Olomouc,40,Schaferová Michaela Mgr.,37,Zelení,BEZPP,1 533,"1,96",37,-
13,ANO 2011,16,Schertlerová Anna MVDr.,30,ANO,BEZPP,5 778,"2,31",4,-
14,Úsvit přímé demokracie,36,Schneiderová Jitka,61,Úsvit,BEZPP,450,"1,95",-,-
4,Patrioti PRO Olomouc,38,Schön Vladimír,51,NK,BEZPP,225,"1,68",-,-
14,Úsvit přímé demokracie,28,Schubert Jaroslav Ing.,49,Úsvit,BEZPP,477,"2,07",-,-
8,Občanská demokratická strana,8,Schubert Radim,34,ODS,ODS,2 753,"2,34",7,-
5,Česká str.sociálně demokrat.,25,Schwarz Richard,23,ČSSD,ČSSD,4 371,"2,19",15,-
12,Komunistická str.Čech a Moravy,3,Skácel Miroslav PaedDr.,66,KSČM,KSČM,2 331,"2,46",2,*
8,Občanská demokratická strana,17,Skácelík Jiří,61,ODS,BEZPP,2 769,"2,35",12,-
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",24,Skácelová Renáta,45,SPR-RSČMS,BEZPP,76,"1,95",-,-
12,Komunistická str.Čech a Moravy,12,Skalka Přemysl MVDr.,61,KSČM,KSČM,2 193,"2,32",8,-
4,Patrioti PRO Olomouc,41,Sklenář Vladimír,54,NK,BEZPP,248,"1,85",-,-
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",4,Skovajsová Hana,60,SPR-RSČMS,BEZPP,100,"2,57",-,-
8,Občanská demokratická strana,24,Skřivánek Aleš MUDr. Ph.D.,49,ODS,ODS,2 873,"2,44",19,-
8,Občanská demokratická strana,37,Sláma Petr,40,ODS,ODS,2 306,"1,96",32,-
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",3,Sláma Roman,51,SPR-RSČMS,SPR-RSČMS,139,"3,58",-,-
11,Občané pro Olomouc,23,Slámová Lenka PhDr.,36,Zelení,Zelení,1 710,"2,19",20,-
14,Úsvit přímé demokracie,16,Slouka Pavel,45,Úsvit,BEZPP,516,"2,24",-,-
7,TOP 09,34,Smešný Trtková Kateřina Ing. CSc.,49,TOP 09,TOP 09,1 995,"2,02",30,-
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",44,Smítal Petr,52,SPR-RSČMS,BEZPP,83,"2,13",-,-
11,Občané pro Olomouc,39,Snídal František,81,NK,BEZPP,1 449,"1,85",36,-
2,Strana svobodných občanů,12,Sofka Luděk,33,Svobodní,BEZPP,564,"2,37",-,-
9,Koruna Česká (monarch.strana),2,Sommerová Eva RNDr.,66,KČ,KČ,209,"4,77",-,-
10,Strana Práv Občanů,18,Soukalová Eva,58,SPO,BEZPP,135,"2,48",-,-
10,Strana Práv Občanů,6,Sova Petr,48,SPO,SPO,223,"4,10",-,-
5,Česká str.sociálně demokrat.,27,Sovinský Jaroslav JUDr. Ph.D.,41,ČSSD,ČSSD,4 434,"2,22",17,-
10,Strana Práv Občanů,29,Sovová Božena,81,SPO,BEZPP,115,"2,11",-,-
13,ANO 2011,3,Spáčil Jaroslav,40,ANO,ANO,5 952,"2,38",4,*
4,Patrioti PRO Olomouc,2,Spilka Miroslav,53,NK,BEZPP,613,"4,58",-,-
5,Česká str.sociálně demokrat.,45,Spurná-Svobodová Anna  DiS.,31,ČSSD,ČSSD,3 594,"1,80",35,-
5,Česká str.sociálně demokrat.,1,Staněk Antonín Doc. Mgr. Ph.D.,48,ČSSD,ČSSD,5 286,"2,65",1,*
4,Patrioti PRO Olomouc,25,Staníčková Marcela,34,NK,BEZPP,261,"1,95",-,-
14,Úsvit přímé demokracie,12,Staňka Radoslav,57,Úsvit,BEZPP,479,"2,08",-,-
14,Úsvit přímé demokracie,27,Staňková Radana Ing.,33,Úsvit,BEZPP,488,"2,12",-,-
11,Občané pro Olomouc,38,Stavinoha Michal,44,NK,BEZPP,1 482,"1,90",35,-
7,TOP 09,21,Steiger Jiří Mgr.,45,TOP 09,TOP 09,2 141,"2,17",17,-
1,Křesť.demokr.unie-Čs.str.lid.,19,Stejskal Ladislav,43,KDU-ČSL,KDU-ČSL,2 313,"2,18",14,-
2,Strana svobodných občanů,24,Stodůlková Pinďurová Zuzana Mgr.,34,Svobodní,BEZPP,552,"2,32",-,-
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",42,Stošek Karel,67,SPR-RSČMS,BEZPP,69,"1,77",-,-
1,Křesť.demokr.unie-Čs.str.lid.,12,Stranyánek Jiří RNDr.,72,KDU-ČSL,KDU-ČSL,2 388,"2,25",7,-
7,TOP 09,8,Svitavský Otakar MUDr.,57,TOP 09,TOP 09,2 493,"2,53",3,-
7,TOP 09,39,Svoboda Jiří Mgr.,36,TOP 09,TOP 09,1 829,"1,85",35,-
1,Křesť.demokr.unie-Čs.str.lid.,21,Svobodová Pavla Mgr.,32,KDU-ČSL,BEZPP,2 285,"2,16",16,-
14,Úsvit přímé demokracie,1,Sýkora Tomáš Mgr. Ing.,46,Úsvit,BEZPP,782,"3,40",-,-
5,Česká str.sociálně demokrat.,30,Szczyrba Zdeněk Doc. RNDr. Ph.D.,47,ČSSD,ČSSD,4 410,"2,21",20,-
7,TOP 09,13,Šafránek Petr Bc.,51,TOP 09,TOP 09,2 316,"2,35",11,-
6,ProOlomouc,11,Šaňák Daniel doc. MUDr. Ph.D.,38,ProOl,BEZPP,1 758,"3,62",9,-
7,TOP 09,16,Šarapatková Hana MUDr. Ph.D.,55,TOP 09,BEZPP,2 628,"2,66",1,-
11,Občané pro Olomouc,31,Šavrňák Lubomír,40,Zelení,Zelení,1 549,"1,98",28,-
5,Česká str.sociálně demokrat.,18,Ščudlík Svatopluk Mgr.,62,ČSSD,ČSSD,4 525,"2,27",8,-
7,TOP 09,18,Šebestík Zdenek Mgr.,53,TOP 09,TOP 09,2 271,"2,30",14,-
14,Úsvit přímé demokracie,45,Šedá Anna,64,Úsvit,BEZPP,385,"1,67",-,-
14,Úsvit přímé demokracie,41,Šedý Jaroslav,51,Úsvit,BEZPP,439,"1,91",-,-
5,Česká str.sociálně demokrat.,39,Šefčík Michal,47,ČSSD,ČSSD,4 138,"2,07",29,-
11,Občané pro Olomouc,24,Ševčík Daniel Mgr.,33,Zelení,Zelení,1 621,"2,07",21,-
8,Občanská demokratická strana,38,Šimeček Radim,21,ODS,ODS,2 279,"1,93",33,-
4,Patrioti PRO Olomouc,4,Šimek František,46,NK,BEZPP,375,"2,80",-,-
2,Strana svobodných občanů,32,Šimek Jiří,36,Svobodní,BEZPP,490,"2,06",-,-
7,TOP 09,9,Šimša Karel Ing.,46,TOP 09,TOP 09,2 447,"2,48",5,-
8,Občanská demokratická strana,39,Šincl Antonín,77,ODS,ODS,2 237,"1,90",34,-
13,ANO 2011,36,Šindelářová Veronika Mgr.,27,ANO,ANO,5 352,"2,14",24,-
6,ProOlomouc,13,Šindelka Jakub Bc.,30,ProOl,BEZPP,1 515,"3,12",11,-
6,ProOlomouc,29,Šindelka Jaroslav Mgr.,51,ProOl,BEZPP,1 369,"2,82",27,-
6,ProOlomouc,7,Šinkovský Martin,35,ProOl,ProOl,1 591,"3,27",5,-
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",31,Šípek Ivo,47,SPR-RSČMS,BEZPP,80,"2,06",-,-
9,Koruna Česká (monarch.strana),17,Šiška Bedřich Ing.,56,KČ,BEZPP,148,"3,38",-,-
7,TOP 09,4,Šišková Kateřina Mgr.,29,TOP 09,TOP 09,2 389,"2,42",7,-
11,Občané pro Olomouc,15,Škabraha Martin Mgr. Ph.D.,34,Zelení,Zelení,1 858,"2,38",12,-
7,TOP 09,25,Škarabela Jiří Mgr.,37,TOP 09,TOP 09,2 132,"2,16",21,-
6,ProOlomouc,21,Škvařilová Marcela MUDr.,60,ProOl,BEZPP,1 558,"3,20",19,-
14,Úsvit přímé demokracie,40,Šlezar Radomír,63,Úsvit,BEZPP,437,"1,90",-,-
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",29,Šmíd Pavel,39,SPR-RSČMS,BEZPP,78,"2,00",-,-
5,Česká str.sociálně demokrat.,31,Šmída Miloslav Bc.,42,ČSSD,ČSSD,4 301,"2,16",21,-
6,ProOlomouc,30,Šmoldas Jan Ing. arch.,61,ProOl,BEZPP,1 477,"3,04",28,-
7,TOP 09,10,Šnajdrová Irena,55,TOP 09,TOP 09,2 232,"2,26",8,-
5,Česká str.sociálně demokrat.,20,Šnajdrová Milada,54,ČSSD,ČSSD,4 471,"2,24",10,-
1,Křesť.demokr.unie-Čs.str.lid.,1,Šnevajs Ladislav RNDr.,52,KDU-ČSL,KDU-ČSL,3 322,"3,14",1,*
1,Křesť.demokr.unie-Čs.str.lid.,45,Šolcová Adéla Bc. DiS.,23,KDU-ČSL,BEZPP,1 751,"1,65",40,-
14,Úsvit přímé demokracie,42,Šoustal Karel,59,Úsvit,BEZPP,446,"1,94",-,-
8,Občanská demokratická strana,41,Šputa Oldřich Ing.,60,ODS,ODS,2 195,"1,86",36,-
13,ANO 2011,42,Šromotová Soňa Mgr.,69,ANO,BEZPP,4 877,"1,95",30,-
8,Občanská demokratická strana,45,Štěpánková Martina,31,ODS,ODS,1 835,"1,55",40,-
7,TOP 09,24,Šváb František Bc. DiS.,35,TOP 09,TOP 09,2 099,"2,13",20,-
14,Úsvit přímé demokracie,15,Švabík Tomáš,42,Úsvit,BEZPP,490,"2,13",-,-
12,Komunistická str.Čech a Moravy,42,Švaříček Stanislav RSDr.,70,KSČM,KSČM,1 969,"2,08",38,-
